0,ru,ну и дурак ! нужно россию присоеденнить к белорусии - лучщеб было !,Нужно Россию присоединить к Белорусии лучше бы было,ну и дурак ! нужно россию присоеденнить к белорусии - лучщеб было !
1,am,አንተ ደንቆሮ የሸርሙጣ ልጅ አህያ ቦዶ ጭንቅላት ዘረኛ የሴት ልጅ አቅምህን እውቅ እንዳ አንተ አይነቱ ተላላኪ ነው አገራችን እንዳትረጋጋ ያደረጋት ቆሻሻ,አቅምህን ብታውቅ ደህና ነው ፤ እናንተ ናችሁ ባንድ በኩል ሀገሪቱ እንዳትረጋጋ ያደረጋችኋት,ደንቆሮ የሴት ልጅ አቅምህን እውቅ እንዳ አንተ አይነቱ ተላላኪ ነው አገራችን እንዳትረጋጋ ያደረጋት ቆሻሻ
2,ru,везде бабушки блядь а дедушки ведь она пиздует к внукам а дед ебашет на работе и всегда она хорошая а дед хуевый парадокс,"везде бабушки и дедушки: бабушка ездит к внукам, а дед работает, но она всегда хорошая, а дедушка плохой. Парадокс!",а дед ебашет на работе и всегда она хорошая а дед хуевый парадокс
3,uk,"бляха, як же мені прикро, що все так ;(","як же мені прикро, що все так ;(","<extra_id_0> як же мені прикро, що все так ;("
4,de,Laßt doch verdammt noch mal das NS Regime aus dem Spiel. Es war damals viel besser für das Volk als ihr euch vorstelle,Laßt doch mal das NS Regime aus dem Spiel. Es war damals viel besser für das Volk als ihr euch vorstelle,<extra_id_0> viel besser für das Volk als ihr euch vorstelle
5,hi,"भेनचोद, हम क्या माँ चुदाने इतनी मेहनत करके टेक्स भरते है..",हम क्या हद से ज्यादा परेशान होने के लिए इतनी मेहनत करके टेक्स भरते है..,हम क्या माँ चुदाने इतनी मेहनत करके टेक्स भरते है..
6,es,Que analogía rebuscada y de mierda,Qué analogía confusa,<extra_id_0> Que analogía rebuscada y de mierda
7,am,በኢትዮጵያን አባባል በጣም ደደብ እና ውሸታም ነህ።,በኢትዮጵያን አባባል መልካም ሰው አይደለኸም፡፡,<extra_id_0> በኢትዮጵያን አባባል በጣም ደደብ እና ውሸታም ነህ።
8,am,ህዝቡን አይወክልም ተብሎ ተነስቷል። አይተ አዲሱ ለገሰ ድምጻቸው ጠፋሳ,ህዝቡን አይወክልም ተብሎ ተነስቷል። አቶ አዲሱ ለገሰ ምነው ድምጻቸው ጠፋ,ህዝቡን አይወክልም ተብሎ ተነስቷል
9,hi,घर से बाहर आकर उन सांपो को सबक नही सिखा सकते?,घर से बाहर आकर उन को सबक नही सिखा सकते?,<extra_id_0> घर से बाहर आकर उन सांपो को सबक सिखा सकते?
10,uk,І щоб не було ще ліпше: нахуй порвані джінси,І щоб не було ще ліпше: порвані джінси,<extra_id_0> щоб не було ще ліпше: нахуй порвані джінси
11,en,the guy was fucking shot ! .,The guy was shot,<extra_id_0> the guy was fucking shot !
12,am,ደንቆሮ በክት የበከትህ ገረድ የስሙኒ ልጅ አንተ ከማንም ጋ ልትከራከር አትችልም ሆድ እስካፉ በክት ስለሆንህ,አንተ ከማንም ጋ ልትከራከር አትችልም ራስ ወዳድ ስለሆንክ,ሰሙኒ ልጅ አንተ ከማንም ጋ ልትከራከር አትችልም ሆድ እስካፉ በክት ስለሆንህ
13,es,"Debería darte vergüenza ofender las creencias de otras persona, intolerante fascista.",Debería darte vergüenza ofender las creencias de otras persona.,"<extra_id_0> debería darte vergüenza ofender las creencias de otras personas, intolerante fascista."
14,en,"shit looked like a music video with synced audio , and footage editing .","looked like a music video with synced audio , and footage editing .","<extra_id_0> shit looked like a music video with synced audio , and footage editing."
